"anio","mes","ipc_mensual"
"2017","4","1.41930980683362"
"2017","5","1.43967335782676"
"2017","6","1.45683532200007"
"2017","7","1.48207158914168"
"2017","8","1.5028688783004"
"2017","9","1.53139400090176"
"2017","10","1.55459052639983"
"2017","11","1.57596743562967"
"2017","12","1.6254839224248"
"2018","1","1.65404942305358"
"2018","2","1.6940614431993"
"2018","3","1.73372048123429"
"2018","4","1.78120764652198"
"2018","5","1.81817438188952"
"2018","6","1.88611366932728"
"2018","7","1.94461361596632"
"2018","8","2.02024817392137"
"2018","9","2.15225697074901"
"2018","10","2.26829821150496"
"2018","11","2.33982593331563"
"2018","12","2.39995532873888"
"2019","1","2.46970381230875"
"2019","2","2.56270352709127"
"2019","3","2.68262626854822"
"2019","4","2.77503464060649"
"2019","5","2.85992488446133"
"2019","6","2.93765779732556"
"2019","7","3.00222356569768"
"2019","8","3.12093105878079"
"2019","9","3.3046185206464"
"2019","10","3.41345553979923"
"2019","11","3.55868227928251"
"2019","12","3.69190892951802"
"2020","1","3.77508375846574"
"2020","2","3.85109995390583"
"2020","3","3.97986027330114"
"2020","4","4.0394217713064"
"2020","5","4.10173939531276"
"2020","6","4.19376352485197"
"2020","7","4.27487907440094"
"2020","8","4.39030552712639"
"2020","9","4.51479359071657"
"2020","10","4.68459361618146"
"2020","11","4.83261295214224"
"2020","12","5.0261865181423"
"2021","1","5.22969828895734"
"2021","2","5.41664074084034"
"2021","3","5.67722489964734"
"2021","4","5.90887234047663"
"2021","5","6.10386512771236"
"2021","6","6.29918881179916"
"2021","7","6.48816447615313"
"2021","8","6.65036858805696"
"2021","9","6.88313148863895"
"2021","10","7.12404109074132"
"2021","11","7.30214211800985"
"2021","12","7.57962351849422"
"2022","1","7.8752288357155"
"2022","2","8.24536459099412"
"2022","3","8.79780401859073"
"2022","4","9.32567225970617"
"2022","5","9.80128154495119"
"2022","6","10.3207494668336"
"2022","7","11.0844849273793"
"2022","8","11.8603988722958"
"2022","9","12.5957436023782"
"2022","10","13.389275449328"
"2022","11","14.0453499463451"
"2022","12","14.7616627936087"
"2023","1","15.6473625612252"
"2023","2","16.6800884902661"
"2023","3","17.9644553040165"
"2023","4","19.4734695495539"
"2023","5","20.9924001744191"
"2023","6","22.2519441848843"
"2023","7","23.653816668532"
"2023","8","26.58688993543"
"2023","9","29.9634249572296"
"2023","10","32.4503892286796"
"2023","11","36.6040390499506"
"2023","12","45.938069007688"
"2024","1","55.4013112232718"
"2024","2","62.7142843047437"
"2024","3","69.6128555782655"
"2024","4","75.7387868691528"
"2024","5","78.9198159176572"
"2024","6","82.5501274498695"
"2024","7","85.8521325478643"
"2024","8","89.4579221148746"
"2024","9","92.5889493888952"
"2024","10","95.0888510223953"
"2024","11","97.3709834469328"
"2024","12","100"
